timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime,Connect
1664108687602,10029,Home Page,200,OK,Scenario 1 1-1,true,,1680179,5,5,1243,0,415
1664108687602,1454,Home Page-0,200,OK,Scenario 1 1-1,true,,9489,5,5,1243,0,415
1664108689058,550,Home Page-1,200,OK,Scenario 1 1-1,true,,12750,5,5,530,0,444
1664108689058,50,Home Page-2,200,OK,Scenario 1 1-1,true,,1051,5,5,50,0,0
1664108689058,254,Home Page-3,200,OK,Scenario 1 1-1,true,,52305,5,5,151,0,92
1664108689058,218,Home Page-4,200,OK,Scenario 1 1-1,true,,36445,5,5,138,0,88
1664108689059,178,Home Page-5,200,OK,Scenario 1 1-1,true,,6964,5,5,160,0,91
1664108689059,249,Home Page-6,200,OK,Scenario 1 1-1,true,,13302,5,5,225,0,185
1664108689108,1454,Home Page-7,200,OK,Scenario 1 1-1,true,,1586,5,5,1454,0,1177
1664108689238,1721,Home Page-8,200,OK,Scenario 1 1-1,true,,55041,5,5,1341,0,1050
1664108689276,1685,Home Page-9,200,OK,Scenario 1 1-1,true,,51183,5,5,1278,0,1001
1664108689308,1286,Home Page-10,200,OK,Scenario 1 1-1,true,,3054,5,5,1286,0,1002
1664108689312,308,Home Page-11,200,OK,Scenario 1 1-1,true,,5682,5,5,304,0,0
1664108689608,3163,Home Page-12,200,OK,Scenario 1 1-1,true,,163916,5,5,1256,0,902
1664108689620,128,Home Page-13,200,OK,Scenario 1 1-1,true,,59416,5,5,61,0,0
1664108689748,3139,Home Page-14,200,OK,Scenario 1 1-1,true,,198932,5,5,1194,0,819
1664108690562,130,Home Page-15,200,OK,Scenario 1 1-1,true,,67510,5,5,53,0,0
1664108690594,569,Home Page-16,200,OK,Scenario 1 1-1,true,,43125,5,5,289,0,0
1664108690692,203,Home Page-17,200,OK,Scenario 1 1-1,true,,66096,5,5,56,0,0
1664108690895,1239,Home Page-18,200,OK,Scenario 1 1-1,true,,87119,5,5,310,0,0
1664108690959,46,Home Page-19,200,OK,Scenario 1 1-1,true,,1779,5,5,46,0,0
1664108690961,46,Home Page-20,200,OK,Scenario 1 1-1,true,,1652,5,5,44,0,0
1664108691005,40,Home Page-21,200,OK,Scenario 1 1-1,true,,1205,5,5,40,0,0
1664108691007,44,Home Page-22,200,OK,Scenario 1 1-1,true,,4825,5,5,41,0,0
1664108691045,3684,Home Page-23,200,OK,Scenario 1 1-1,true,,52023,5,5,342,0,0
1664108691051,3682,Home Page-24,200,OK,Scenario 1 1-1,true,,53239,5,5,337,0,0
1664108691163,3802,Home Page-25,200,OK,Scenario 1 1-1,true,,54671,5,5,451,0,0
1664108692134,954,Home Page-26,200,OK,Scenario 1 1-1,true,,57540,5,5,427,0,0
1664108692771,1037,Home Page-27,200,OK,Scenario 1 1-1,true,,52662,5,5,453,0,0
1664108692887,4744,Home Page-28,200,OK,Scenario 1 1-1,true,,57237,5,5,392,0,0
1664108693088,1180,Home Page-29,200,OK,Scenario 1 1-1,true,,55331,5,5,583,0,0
1664108693808,1271,Home Page-30,200,OK,Scenario 1 1-1,true,,54137,5,5,408,0,0
1664108694268,1298,Home Page-31,200,OK,Scenario 1 1-1,true,,53966,5,5,467,0,0
1664108694729,1651,Home Page-32,200,OK,Scenario 1 1-1,true,,54151,5,5,933,0,0
1664108694734,965,Home Page-33,200,OK,Scenario 1 1-1,true,,56392,5,5,62,0,0
1664108694965,61,Home Page-34,200,OK,Scenario 1 1-1,true,,1459,5,5,61,0,0
1664108695026,871,Home Page-35,200,OK,Scenario 1 1-1,true,,33735,5,5,197,0,0
1664108695079,321,Home Page-36,200,OK,Scenario 1 1-1,true,,9808,5,5,213,0,130
1664108695400,270,Home Page-37,200,OK,Scenario 1 1-1,true,,13808,5,5,62,0,0
1664108695566,120,Home Page-38,200,OK,Scenario 1 1-1,true,,6836,5,5,89,0,0
1664108695670,1134,Home Page-39,200,OK,Scenario 1 1-1,true,,38588,5,5,117,0,0
1664108695686,55,Home Page-40,200,OK,Scenario 1 1-1,true,,1301,5,5,54,0,0
1664108695699,74,Home Page-41,200,OK,Scenario 1 1-1,true,,1440,5,5,73,0,0
1664108695741,102,Home Page-42,200,OK,Scenario 1 1-1,true,,2297,5,5,101,0,0
1664108695773,298,Home Page-43,200,OK,Scenario 1 1-1,true,,13010,5,5,83,0,0
1664108695844,77,Home Page-44,200,OK,Scenario 1 1-1,true,,1648,5,5,76,0,0
1664108695897,145,Home Page-45,200,OK,Scenario 1 1-1,true,,3088,5,5,144,0,0
1664108695921,167,Home Page-46,200,OK,Scenario 1 1-1,true,,5489,5,5,106,0,0
1664108696042,88,Home Page-47,200,OK,Scenario 1 1-1,true,,1896,5,5,88,0,0
1664108688592,10017,Home Page,200,OK,Scenario 1 1-2,false,"Test failed: text expected to contain /<h1 class=""texto-azul-banner-console modern-font"">NÓS SOMOS A DESENVOLVEDOR.IO</h1>/",1931901,5,5,1099,0,263
1664108688592,1308,Home Page-0,200,OK,Scenario 1 1-2,true,,9368,5,5,1099,0,263
1664108689902,236,Home Page-1,200,OK,Scenario 1 1-2,true,,12748,5,5,193,0,137
1664108689902,129,Home Page-2,200,OK,Scenario 1 1-2,true,,1055,5,5,127,0,0
1664108689902,319,Home Page-3,200,OK,Scenario 1 1-2,true,,52303,5,5,206,0,151
1664108689903,296,Home Page-4,200,OK,Scenario 1 1-2,true,,36452,5,5,212,0,146
1664108689903,231,Home Page-5,200,OK,Scenario 1 1-2,true,,6968,5,5,202,0,148
1664108689903,225,Home Page-6,200,OK,Scenario 1 1-2,true,,13298,5,5,183,0,126
1664108690031,6056,Home Page-7,200,OK,Scenario 1 1-2,true,,251843,5,5,1133,0,831
1664108690128,1110,Home Page-8,200,OK,Scenario 1 1-2,true,,1586,5,5,1110,0,814
1664108690134,4482,Home Page-9,200,OK,Scenario 1 1-2,true,,55041,5,5,1160,0,841
1664108690138,3287,Home Page-10,200,OK,Scenario 1 1-2,true,,51183,5,5,1154,0,837
1664108690200,1147,Home Page-11,200,OK,Scenario 1 1-2,true,,3054,5,5,1147,0,856
1664108690221,77,Home Page-12,200,OK,Scenario 1 1-2,true,,5692,5,5,73,0,0
1664108690298,2993,Home Page-13,200,OK,Scenario 1 1-2,true,,163916,5,5,1472,0,935
1664108691238,546,Home Page-14,200,OK,Scenario 1 1-2,true,,59422,5,5,63,0,0
1664108691347,4578,Home Page-15,200,OK,Scenario 1 1-2,true,,198932,5,5,520,0,0
1664108691784,1388,Home Page-16,200,OK,Scenario 1 1-2,true,,67518,5,5,76,0,0
1664108693172,915,Home Page-17,200,OK,Scenario 1 1-2,true,,43125,5,5,885,0,0
1664108693291,1983,Home Page-18,200,OK,Scenario 1 1-2,true,,66090,5,5,110,0,0
1664108693425,1630,Home Page-19,200,OK,Scenario 1 1-2,true,,87119,5,5,600,0,0
1664108694088,83,Home Page-20,200,OK,Scenario 1 1-2,true,,1771,5,5,82,0,0
1664108694171,74,Home Page-21,200,OK,Scenario 1 1-2,true,,1648,5,5,73,0,0
